datasheet_id,name,description,range,type,A,BS_WS,S,AP,D
746,Close combat weapons,,Melee,Melee,3,4,3,0,1
747,Hydra quad autocannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",72,Ranged,4,4,9,-1,3
747,Close combat weapons,,Melee,Melee,3,4,3,0,1
751,Autocannon,,48,Ranged,2,4,9,-1,3
751,Demolisher cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D6+3,4,14,-3,D6
751,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
751,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
751,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
751,Lascannon,,48,Ranged,1,4,12,-3,D6+1
751,Malcador twin lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,1,4,12,-3,D6+1
751,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,1,4,4,0,1
751,Armoured tracks,,Melee,Melee,6,4,7,0,1
752,Autocannon,,48,Ranged,2,4,9,-1,3
752,Demolisher cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D6+3,4,14,-3,D6
752,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
752,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
752,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
752,Lascannon,,48,Ranged,1,4,12,-3,D6+1
752,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,1,4,4,0,1
752,Armoured tracks,,Melee,Melee,6,4,7,0,1
753,Autocannon,,48,Ranged,2,4,9,-1,3
753,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
753,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
753,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
753,Lascannon,,48,Ranged,1,4,12,-3,D6+1
753,Malcador battle cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",48,Ranged,D6+3,4,9,-1,3
753,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,1,4,4,0,1
753,Armoured tracks,,Melee,Melee,6,4,7,0,1
754,Autocannon,,48,Ranged,2,4,9,-1,3
754,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
754,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
754,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
754,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
754,Inferno gun,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",18,Ranged,D6+3,N/A,5,-2,2
754,Lascannon,,48,Ranged,1,4,12,-3,D6+1
754,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,1,4,4,0,1
754,Armoured tracks,,Melee,Melee,6,4,7,0,1
755,Storm eagle rockets,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",120,Ranged,D6+1,4,10,-2,3
755,Close combat weapons,,Melee,Melee,3,4,3,0,1
756,Medusa siege cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",36,Ranged,D6,5,10,-3,3
756,Battery close combat weapons,,Melee,Melee,5,4,3,0,1
757,Laser destroyer,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,2,5,12,-2,D6+1
757,Close combat weapon,,Melee,Melee,2,4,3,0,1
758,Twin autocannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,2,4,9,-1,3
758,Twin heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,5,-1,2
758,Twin heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,4,0,1
758,Twin lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,1,4,12,-3,D6+1
758,Close combat weapon,,Melee,Melee,1,4,3,0,1
759,Powerlifter,,Melee,Melee,3,4,10,-2,D3
760,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
760,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
760,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
760,Stygies laser destroyer,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",72,Ranged,2,4,14,-4,D6+3
760,Armoured tracks,,Melee,Melee,3,4,6,0,1
762,Twin heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,5,-1,2
762,Twin lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,1,4,12,-3,D6+1
762,Close combat weapon,,Melee,Melee,1,4,4,0,1
763,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
763,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
763,Lascannon,,48,Ranged,1,4,12,-3,D6+1
763,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,1,4,4,0,1
763,Stormblade plasma blastgun – standard,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",48,Ranged,D6+3,4,9,-2,3
763,Stormblade plasma blastgun – supercharge,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",48,Ranged,D6+3,4,10,-3,4
763,Twin heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,5,-1,2
763,Twin heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",12,Ranged,D6,N/A,5,-1,1
763,Armoured tracks,,Melee,Melee,6,4,8,0,1
764,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
764,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
764,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
764,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
764,Lascannon,,48,Ranged,1,4,12,-3,D6+1
764,Multi-laser,,36,Ranged,4,4,6,0,1
764,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
764,Stormhammer cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",72,Ranged,3D6,4,12,-2,3
764,Twin battle cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,D6+3,4,9,-1,3
764,Armoured tracks,,Melee,Melee,6,4,8,0,1
766,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
766,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
766,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
766,Armoured tracks,,Melee,Melee,6,4,7,0,1
767,Autocannon,,48,Ranged,2,4,9,-1,3
767,Dominus triple bombard,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",48,Ranged,2D6,4,12,-2,3
767,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
767,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
767,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
767,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
767,Lascannon,,48,Ranged,1,4,12,-3,D6+1
767,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
767,Armoured tracks,,Melee,Melee,3,4,6,0,1
768,Gorgon mortar,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",48,Ranged,D6,4,5,0,1
768,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
768,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
768,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
768,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
768,Twin heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,4,0,1
768,Landing ramp,,Melee,Melee,6,4,8,0,1
769,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
769,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
769,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
769,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
769,Macharius twin battle cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,D6+3,4,10,-1,3
769,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
769,Twin heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,4,0,1
769,Armoured tracks,,Melee,Melee,6,4,8,0,1
770,Autocannon,,48,Ranged,2,4,9,-1,3
770,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
770,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
770,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
770,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
770,Omega-pattern plasma blastgun – standard,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",60,Ranged,2D6,4,8,-2,2
770,Omega-pattern plasma blastgun – supercharge,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",60,Ranged,2D6,4,9,-3,3
770,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
770,Armoured tracks,,Melee,Melee,3,4,6,0,1
771,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
771,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
771,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
771,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
771,Macharius twin vanquisher cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",72,Ranged,1,4,18,-4,D6+6
771,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
771,Twin heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,4,0,1
771,Armoured tracks,,Melee,Melee,6,4,8,0,1
772,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
772,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
772,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
772,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
772,Macharius vulcan mega-bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",48,Ranged,16,4,6,-1,2
772,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
772,Twin heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,4,0,1
772,Armoured tracks,,Melee,Melee,6,4,8,0,1
773,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
773,Lascannon,,48,Ranged,1,4,12,-3,D6+1
773,Armoured hull,,Melee,Melee,6,4,8,0,1
774,Assault cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>",24,Ranged,6,4,6,0,1
774,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
774,Hellstrike missile rack,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>",48,Ranged,2,4,10,-3,D6
774,Marauder nose autocannons,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,4,4,10,-2,3
774,Armoured hull,,Melee,Melee,6,4,8,0,1
775,Minotaur twin earthshaker cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",240,Ranged,D6+3,4,8,-2,2
775,Armoured tracks,,Melee,Melee,3,4,6,0,1
776,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
776,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
776,Praetor launcher – firestorm,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",120,Ranged,2D6,4,6,-1,2
776,Praetor launcher – foehammer,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-monster 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-vehicle 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",120,Ranged,D6+1,4,4,-2,3
776,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
776,Armoured tracks,,Melee,Melee,6,4,7,0,1
777,Autocannon,,48,Ranged,2,4,9,-1,3
777,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
777,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
777,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
777,Hunter-killer missile,one shot,48,Ranged,1,4,14,-3,D6
777,Lascannon,,48,Ranged,1,4,12,-3,D6+1
777,Storm bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",24,Ranged,2,4,4,0,1
777,Valdor neutron laser,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",48,Ranged,2,4,16,-4,D6+1
777,Armoured tracks,,Melee,Melee,6,4,8,0,1
778,Autocannon,,48,Ranged,2,4,9,-1,3
778,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
778,Multi-laser,,36,Ranged,4,4,6,0,1
778,Armoured hull,,Melee,Melee,3,4,6,0,1
779,Armoured hull,,Melee,Melee,2,4,5,0,1
780,Avenger bolt cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,10,4,6,-1,2
780,Heavy stubber,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 3</a>",36,Ranged,3,4,4,0,1
780,Lascannon,,48,Ranged,1,4,12,-3,D6+1
780,Armoured hull,,Melee,Melee,6,4,8,0,1
781,Lascannon,,48,Ranged,1,4,12,-3,D6+1
781,Lightning hellstrike rack,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>",48,Ranged,2,4,10,-3,D6
781,Armoured hull,,Melee,Melee,6,4,8,0,1
783,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
783,Vendetta hellstrike rack,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>",48,Ranged,2,4,10,-3,D6
783,Vendetta twin lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,1,4,12,-3,D6+1
783,Armoured hull,,Melee,Melee,3,4,6,0,1
784,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",36,Ranged,3,4,5,-1,2
784,Multiple rocket pod,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",36,Ranged,D6,4,6,0,1
784,Vulture gatling cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",24,Ranged,18,4,5,0,1
784,Vulture hellstrike rack,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>",48,Ranged,2,4,10,-3,D6
784,Armoured hull,,Melee,Melee,6,4,4,0,1
785,Twin long-barrelled autocannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",60,Ranged,2,4,9,-1,3
785,Twin heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",36,Ranged,3,4,5,-1,2
785,Twin lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,1,4,12,-3,D6+1
786,Battle cannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">BLAST</a>",48,Ranged,D6+3,4,9,-1,3
786,Heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">SUSTAINED HITS 1</a>",36,Ranged,3,4,5,-1,2
786,Multi-melta,"<a href=""/wh40k10ed/the-rules/core-rules/#Melta"">MELTA 2</a>",18,Ranged,2,4,9,-4,D6
786,Primaris Icarus lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>",48,Ranged,1,4,12,-3,D6+1
786,Primaris Icarus quad lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",48,Ranged,2,4,12,-3,D6+1
786,Primaris air defence missiles,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-fly 2+</a>",48,Ranged,D6,4,6,-2,2
786,Primaris castellan launcher,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",72,Ranged,D6+1,4,6,0,1
786,Primaris quad-gun,,48,Ranged,4,4,8,-1,2
786,Primaris Redoubt turbo-laser destructor,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",96,Ranged,D3+1,4,16,-3,D6+3
786,Primaris vengeance launcher,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Indirect-Fire"">indirect fire</a>",72,Ranged,D3+1,4,7,-1,2
786,Twin heavy bolter,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">SUSTAINED HITS 1</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">TWIN-LINKED</a>",36,Ranged,3,4,5,-1,2
786,Twin heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">IGNORES COVER</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">TORRENT</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">TWIN-LINKED</a>",12,Ranged,D6,N/A,5,-1,1
786,Twin lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">TWIN-LINKED</a>",48,Ranged,1,4,12,-3,D6+1
824,Lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",48,Ranged,1,5,12,-3,D6+1
825,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
825,Lascannon,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",48,Ranged,1,5,12,-3,D6+1
829,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
830,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
832,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
833,Heavy flamer,"<a href=""/wh40k10ed/the-rules/core-rules/#Ignores-Cover"">ignores cover</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Torrent"">torrent</a>",12,Ranged,D6,N/A,5,-1,1
838,Solar atomiser,"<a href=""/wh40k10ed/the-rules/core-rules/#Melta"">melta 3</a>",18,Ranged,3,2,14,-4,D6
