datasheet_id,line,description
1029,1,1 Maulerfiend
1030,1,1 Defiler
1031,1,"1 Magnus the Red – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1032,1,"1 Ahriman – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1033,1,1 Exalted Sorcerer
1034,1,1 Twistbray
1034,2,9-19 Tzaangors
1035,1,1 Scarab Occult Sorcerer
1035,2,4-9 Scarab Occult Terminators
1036,1,1 Daemon Prince of Tzeentch
1044,1,1 Plague Champion
1044,2,4-9 Plague Marines
1045,1,1 Possessed Champion
1045,2,4-9 Possessed
1046,1,1 Helbrute
1047,1,1 Chaos Rhino
1048,1,2 Chaos Spawn
1049,1,1 Chaos Land Raider
1050,1,1 Chaos Predator Annihilator
1051,1,1 Defiler
1052,1,1 Daemon Prince of Nurgle
1053,1,"1 Typhus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1054,1,1 Lord of Contagion
1055,1,1 Malignant Plaguecaster
1056,1,10-20 Poxwalkers
1057,1,1 Foetid Bloat-drone
1058,1,1 Noxious Blightbringer
1094,1,1 Chaos Cerastus Knight Acheron
1095,1,1 Chaos Cerastus Knight Lancer
1096,1,1 Chaos Cerastus Knight Castigator
1097,1,1 Chaos Cerastus Knight Atrapos
1098,1,1 Chaos Questoris Knight Magaera
1099,1,1 Chaos Acastus Knight Porphyrion
1100,1,1 Chaos Questoris Knight Styrix
1104,1,"1 Karanak – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1105,1,"1 Skarbrand – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1106,1,"1 Skulltaker – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1111,1,1 Rendmaster on Blood Throne
1112,1,1 Gore Hound
1112,2,4-9 Flesh Hounds
1114,1,1 Bloodreaper
1114,2,9 Bloodletters
1115,1,1 Bloodhunter
1115,2,2-5 Bloodcrushers
1116,1,1 Skull Cannon
1117,1,"1 Kairos Fateweaver – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1118,1,"1 The Changeling – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1119,1,"1 The Blue Scribes – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1120,1,1 Lord of Change
1125,1,1 Pyrocaster
1125,2,2-5 Flamers
1126,1,1 Exalted Flamer
1127,1,3-6 Screamers
1128,1,1 Burning Chariot
1129,1,"1 Epidemius – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1130,1,1 Great Unclean One
1132,1,1 Plagueridden
1132,2,9 Plaguebearers
1133,1,3-6 Nurgling Swarms
1134,1,1-2 Beasts of Nurgle
1135,1,1 Plaguebringer
1135,2,2-5 Plague Drones
1136,1,"1 The Masque of Slaanesh – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1137,1,1 Keeper of Secrets
1138,1,1 Tranceweaver
1139,1,1 Herald of Slaanesh on Steed of Slaanesh
1141,1,1 Tormentbringer on Exalted Seeker Chariot
1142,1,1 Alluress
1142,2,9 Daemonettes
1143,1,1 Blissbringer
1143,2,2-5 Fiends
1144,1,1-2 Hellflayers
1145,1,1 Heartseeker
1145,2,4-9 Seekers
1146,1,1-2 Seeker Chariots
1147,1,1 Exalted Seeker Chariot
1148,1,"1 Be’lakor – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1149,1,1 Daemon Prince of Chaos
1150,1,5-10 Furies
1151,1,1 Soul Grinder
1153,1,1 Cerberus
1154,1,1 Vanguard Veteran Sergeant
1154,2,4-9 Vanguard Veterans
1156,1,1 Invictor Tactical Warsuit
1157,1,1 Intercessor Sergeant
1157,2,4-9 Intercessors
1158,1,1 Invader ATV
1159,1,1 Incursor Sergeant
1159,2,4-9 Incursors
1160,1,1 Scout Sergeant
1160,2,4-9 Scouts
1161,1,1 Sicaran Arcus
1162,1,"1 Sergeant Telion – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1163,1,1 Sicaran Omega
1164,1,1 Techmarine Gunner
1164,2,1 Thunderfire Cannon
1165,1,1 Bladeguard Ancient
1166,1,1 Veteran Biker Sergeant
1166,2,1-4 Veteran Bikers
1167,1,1 Company Champion on Bike
1168,1,1 Land Speeder Tempest
1169,1,1 Land Speeder Tornado
1172,1,1 Captain in Gravis Armour
1174,1,1 Chaplain
1175,1,1 Kratos
1177,1,1 Heavy Intercessor Sergeant
1177,2,4-9 Heavy Intercessors
1178,1,1 Vindicator Laser Destroyer
1179,1,1 Sokar-pattern Stormbird
1182,1,1 Ancient on Bike
1183,1,1 Terminator Sergeant
1183,2,4-9 Terminators
1184,1,1 Terminus Ultra
1185,1,1 Sicaran Battle Tank
1188,1,1 Vindicator
1189,1,1 Mastodon
1190,1,1 Stormtalon Gunship
1191,1,1 Stormraven Gunship
1192,1,1 Chaplain Venerable Dreadnought
1193,1,1 Devastator Centurion Sergeant
1193,2,2-5 Devastator Centurions
1196,1,1 Land Raider Banisher
1197,1,1 Grey Knights Thunderhawk Gunship
1199,1,1 Repressor
1237,1,1 Valkyrie Sky Talon
1293,1,1 Blood Slaughterer
1294,1,1 Greater Blight Drone
1295,1,1 Decimator
1297,1,1 Kytan Ravager
1298,1,1 Greater Brass Scorpion
1302,1,1 Chaos Deimos Predator
1310,1,1 Dreadclaw Drop Pod
1311,1,1 Kharybdis Assault Claw
1317,1,1 Hell Blade
1318,1,1 Hell Talon
1321,1,1 Chaos Thunderhawk
1329,1,"1 An'ggrath the Unbound – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1332,1,"1 Zarakynel – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1333,1,"1 Aetaos'rau'keres – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1336,1,3 Plague Toads
1337,1,3 Pox Riders
1338,1,1 Spined Chaos Beast
1339,1,1 Giant Chaos Spawn
1340,1,"1 Scabeiathrax the Bloated – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1344,1,1 Librarian with Jump Pack
1345,1,1 Lieutenant in Reiver Armour
1346,1,1 Lieutenant
1347,1,1 Land Raider Prometheus
1348,1,1 Librarian on Bike
1355,1,1 Exalted Champion
1360,1,1 Grand Master in Nemesis Dreadknight
1361,1,1 Brotherhood Librarian
1362,1,1 Brotherhood Chaplain
1363,1,1 Stormhawk Interceptor
1364,1,1 Stormtalon Gunship
1367,1,1 Foul Blightspawn
1368,1,1 Biologus Putrifier
1369,1,1 Plague Surgeon
1370,1,1 Tallyman
1371,1,1 Deathshroud Champion
1371,2,2-5 Deathshroud Terminators
1372,1,1 Blightlord Champion
1372,2,2-9 Blightlord Terminators
1374,1,1-2 Myphitic Blight-hulers
1376,1,1 Plagueburst Crawler
1377,1,"1 Mortarion – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1383,1,1 Mukaali Rider Sergeant
1383,2,2 Mukaali Riders
1385,1,1 Grot Bomm Launcha
1386,1,1 Attack Fighta
1387,1,1 Fighta-Bommer
1388,1,1 Deff Rolla Battle Fortress
1389,1,1 Kill Krusha
1390,1,1 Raven Strike Fighter
1391,1,3 Knarloc Riders
1392,1,1 Great Knarloc
1393,1,1 Firestorm
1394,1,1 Ministorum Priest
1396,1,1 Tech-Priest Enginseer
1397,1,4 Munitorum Servitors
1398,1,1 Ogryn Bodyguard
1400,1,1 Bonesinger
1406,1,"1 Sly Marbo – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1423,1,1 Ravenwing Talonmaster
1446,1,"1 Trajann Valoris – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1447,1,1 Shield-Captain
1448,1,1 Shield-Captain in Allarus Terminator Armour
1449,1,1 Shield-Captain on Dawneagle Jetbike
1450,1,4-5 Custodian Wardens
1453,1,2-6 Allarus Custodians
1454,1,2-3 Vertus Praetors
1455,1,1 Bloodmaster
1456,1,1 Skullmaster
1458,1,1 Contemptor-Achillus Dreadnought
1460,1,1 Caladius Grav-tank
1461,1,1 Coronus Grav-carrier
1462,1,1 Changecaster
1463,1,1 Fateskimmer
1464,1,1 Fluxmaster
1465,1,"1 Rotigus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1466,1,"1 Horticulous Slimux – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1467,1,1 Poxbringer
1468,1,1 Sloppity Bilepiper
1469,1,1 Spoilpox Scrivener
1470,1,1 Feculent Gnarlmaw
1472,1,1 Tzaangor Shaman
1474,1,1 Aviarch
1474,2,2-5 Enlightened
1476,1,1 Mutalith Vortex Beast
1477,1,1 Commander in Crisis Battlesuit
1478,1,1 Commander in Enforcer Battlesuit
1479,1,1 Telemon Heavy Dreadnought
1481,1,1 Armiger Helverin
1482,1,1 Armiger Warglaive
1483,1,1 Knight Preceptor
1484,1,"1 Canis Rex – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1485,1,1 Knight Castellan
1486,1,1 Knight Valiant
1523,1,1 Scout Sniper Sergeant
1523,2,4-9 Scout Snipers
1524,1,"1 Sergeant Chronus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1525,1,1 Hoplite Alpha
1525,2,4-9 Secutarii Hoplites
1526,1,1 Peltast Alpha
1526,2,4-9 Secutarii Peltasts
1527,1,1 Techmarine on Bike
1533,1,1 Terrax-pattern Termite
1536,1,1 Big Mek with Shokk Attack Gun
1537,1,1 Defkilla Wartrike
1538,1,1 Kustom Boosta-blasta
1539,1,1 Shokkjump Dragsta
1540,1,1 Boomdakka Snazzwagon
1541,1,1 Megatrakk Scrapjet
1542,1,1 Rukkatrukk Squigbuggy
1545,1,1 Mekboy Workshop
1546,1,1 Abominant
1553,1,1 Preacher
1556,1,"1 Haarken Worldclaimer – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1557,1,1 Contemptor-Galatus Dreadnought
1558,1,3-6 Aquilon Custodians
1559,1,5 Custodian Guard with Adrasite and Pyrithite Spears
1560,1,3-6 Agamatus Custodians
1561,1,3-6 Venatari Custodians
1562,1,1 Pallas Grav-attack
1563,1,5 Sagittarum Custodians
1564,1,1 Orion Assault Dropship
1565,1,1 Jackal Alphus
1567,1,1 Clamavus
1568,1,1 Locus
1569,1,1 Sanctus
1570,1,1 Kelermorph
1571,1,1 Nexos
1572,1,1 Biophagus
1573,1,1-2 Achilles Ridgerunners
1574,1,4-8 Atalan Jackals
1574,2,1-2 Atalan Wolfquads*
1576,1,1 Tectonic Fragdrill
1577,1,1 Seraptek Heavy Construct
1579,1,"1 Inquisitor Eisenhorn – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1580,1,1 Tech-Priest Manipulus
1581,1,1 Master of Possession
1583,1,1 Lord Discordant on Helstalker
1584,1,1 Master of Executions
1586,1,1 Venomcrawler
1587,1,1 Noctilith Crown
1588,1,1 Skull Altar
1589,1,1 Infernal Enrapturess
1596,1,"1 Rein – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1596,2,"1 Raus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1598,1,"1 Amallyn Shadowguide – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1600,1,1 Rogue Psyker
1601,1,4 Negavolt Cultists
1603,1,4 Spindle Drones
1604,1,1 Fellgor Champion
1604,2,9 Fellgor Beastmen
1606,1,1 Assault Intercessor Sergeant
1606,2,4-9 Assault Intercessors
1607,1,1 Land Raider Achilles
1608,1,1 Land Raider Proteus
1609,1,1 Fire Raptor Gunship
1610,1,1 Storm Speeder Thunderstrike
1611,1,"1 Chief Librarian Tigurius – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1630,1,1 Ambull
1647,1,1 Contorted Epitome
1648,1,"1 Shalaxi Helbane – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1649,1,"1 Syll’Esske – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1650,1,1 Skorpius Dunerider
1651,1,1 Skorpius Disintegrator
1658,1,1 Knight Despoiler
1659,1,1 Knight Tyrant
1660,1,1 Knight Desecrator
1661,1,1 Knight Rampager
1662,1,1 Chaos Acastus Knight Asterius
1663,1,1 War Dog Moirax
1664,1,1 Acastus Knight Asterius
1666,1,1 Falchion
1667,1,1 Gladiator Reaper
1668,1,1 Eliminator Sergeant
1668,2,2 Eliminators
1680,1,1 Ares Gunship
1822,1,"1 X-101 – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1825,1,1 Gladiator Valiant
1991,1,1 Terrax-pattern Termite
1993,1,"1 Da Red Gobbo – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
1994,1,1 Carnodon
1997,1,5-10 Death Company Marines
2063,1,"1 Triumph of Saint Katherine – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2064,1,"1 Junith Eruita – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2066,1,1 Zephyrim Superior
2066,2,4-9 Zephyrim
2067,1,1-2 Mortifiers
2068,1,1 Battle Sanctum
2076,1,1-3 Attack Bikes
2077,1,1 Warbringer Nemesis Titan
2080,1,1 Big Mek with Kustom Force Field
2081,1,1 Serberys Sulphurhound Alpha
2081,2,2-5 Serberys Sulphurhounds
2082,1,1 Serberys Raider Alpha
2082,2,2-5 Serberys Raiders
2083,1,1 Pteraxii Sterylizor Alpha
2083,2,4-9 Pteraxii Sterylizors
2084,1,1 Pteraxii Skystalker Alpha
2084,2,4-9 Pteraxii Skystalkers
2085,1,1 Archaeopter Transvector
2086,1,1 Archaeopter Stratoraptor
2087,1,1 Archaeopter Fusilave
2088,1,"1 Aleya – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2090,1,"1 Inquisitor Draxus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2092,1,"1 Illuminor Szeras – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2093,1,"1 Archivist – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2098,1,1 Hellblaster Sergeant
2098,2,4-9 Hellblasters
2099,1,1 Aggressor Sergeant
2099,2,2-5 Aggressors
2100,1,"1 Adrax Agatone – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2102,1,1 Land Speeder Typhoon
2103,1,1 Apothecary
2103,2,1 Company Ancient
2103,3,1 Company Champion
2103,4,2 Company Veterans
2105,1,"1 Darnath Lysander – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2108,1,1 Plasmancer
2109,1,1 Skorpekh Lord
2110,1,3-6 Skorpekh Destroyers
2111,1,2 Cryptothralls
2112,1,1 Canoptek Reanimator
2114,1,3-6 Canoptek Scarab Swarms
2115,1,1 Canoptek Doomstalker
2116,1,1-3 Lokhust Heavy Destroyers
2173,1,1 Land Raider Redeemer
2199,1,"1 Marneus Calgar – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2199,2,2 Victrix Honour Guard
2202,1,1 Devastator Sergeant
2202,2,4-9 Devastator Marines
2234,1,1 Primaris Company Champion
2252,1,1 Spartan
2255,1,1 Sternguard Veteran Sergeant
2255,2,4-9 Sternguard Veterans
2258,1,1 Stalker
2266,1,1 Librarian
2267,1,1 Deathstorm Drop Pod
2268,1,1 Deimos Predator
2269,1,1 Deredeo Dreadnought
2270,1,1 Desolation Sergeant
2270,2,4 Desolation Marines
2285,1,5-10 Death Company Marines with Bolt Rifles
2291,1,"1 Sammael – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2296,1,"1 Lazarus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2302,1,1 Deathwing Ancient
2302,2,1 Deathwing Apothecary
2302,3,1 Deathwing Champion
2302,4,2-7 Deathwing Command Terminators
2350,1,1 Royal Warden
2351,1,1 Lokhust Lord
2352,1,1 Technomancer
2353,1,1 Psychomancer
2354,1,1 Chronomancer
2355,1,1 Hexmark Destroyer
2357,1,"1 C’tan Shard of the Void Dragon – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2358,1,3-6 Ophydian Destroyers
2359,1,1-6 Lokhust Destroyers
2360,1,"1 Szarekh – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2360,2,2 Triarchal Menhirs
2361,1,1-3 Convergence of Dominion Starsteles
2362,1,1 Tomb Citadel
2363,1,1 Guardian Drone
2374,1,One of the following:
2374,2,1 Grenadier Sergeant and 9 Grenadiers
2374,3,"1 Grenadier Sergeant, 7 Grenadiers and 1 Heavy Weapons Team"
2375,1,1 Quartermaster Revenant
2375,2,4 Medicae Servitors
2377,1,3 Elysian Sniper Teams
2378,1,1 Death Rider Commissar
2379,1,1 Storm Chimera
2453,1,1 Mega Dread
2459,1,2 Wraithbone Arches
2460,1,1 Lord of Virulence
2461,1,1 Chaos Predator Destructor
2462,1,1 Miasmic Malignifier
2468,1,1 Deathwing Strikemaster
2471,1,1 Lhamaean
2471,2,1 Medusae
2471,3,1 Sslyth
2471,4,1 Ur-ghul
2472,1,1 Palatine
2473,1,"1 Tor Garadon – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2477,1,1 Technoarcheologist
2478,1,1 Skitarii Marshal
2479,1,"1 Morvenn Vahl – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2480,1,"1 Aestred Thurga – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2480,2,"1 Agathae Dolan – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2481,1,1 Sacresant Superior
2481,2,4-9 Celestian Sacresants
2482,1,1 Dogmata
2483,1,1 Paragon Superior
2483,2,2 Paragons
2484,1,1 Castigator
2485,1,1 Ibram Gaunt
2485,2,5 Tanith Ghosts
2488,1,"1 Zodgrod Wortsnagga – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2489,1,1 Beastboss
2490,1,1 Beastboss on Squigosaur
2491,1,1 Painboss
2492,1,1 Wurrboy
2493,1,"1 Mozrog Skragbad – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2494,1,1 Beast Snagga Nob
2494,2,9-19 Beast Snagga Boyz
2496,1,1-2 Nob On Smasha Squig
2496,2,3-6 Squighog Boyz
2497,1,1 Kill Rig
2498,1,1 Hunta Rig
2499,1,1 Big’ed Bossbunka
2500,1,1 Infernal Master
2501,1,1 Chaos Predator Annihilator
2507,1,1 Novitiate Superior
2507,2,9 Sisters Novitiate
2509,1,1 Voidmaster
2509,2,4 Voidsmen
2509,3,1 Canid
2518,1,1 Blade Champion
2519,1,"1 Valerian – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2520,1,1 Knight-Centura
2521,1,1 Prosecutor Sister Superior
2521,2,3-9 Prosecutors
2522,1,1 Vigilator Sister Superior
2522,2,3-9 Vigilators
2523,1,1 Witchseeker Sister Superior
2523,2,3-9 Witchseekers
2524,1,1 Anathema Psykana Rhino
2525,1,1 Reductus Saboteur
2528,1,1 Winged Hive Tyrant
2529,1,1 Parasite of Mortrex
2530,1,1 Lieutenant in Phobos Armour
2531,1,1 Voidreaver Felarch
2531,2,4-9 Corsair Voidreavers
2532,1,This unit can contain a maximum of 10 models.
2532,2,1 Voidscarred Felarch
2532,3,4-9 Corsair Voidscarred
2532,4,0-1 Shade Runner
2532,5,0-1 Soul Weaver
2532,6,0-1 Way Seeker
2533,1,3-6 Shroud Runners
2534,1,1 Troupe Master
2535,1,1 Shadowseer
2536,1,1 Lead Player
2536,2,4-11 Players
2537,1,1 Death Jester
2538,1,"1 Solitaire – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2539,1,2-4 Skyweavers
2540,1,1 Voidweaver
2541,1,1 Starweaver
2542,1,"1 Yvraine – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2543,1,"1 Visarch – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2544,1,"1 Yncarne – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2562,1,1 War Dog Executioner
2563,1,1 War Dog Stalker
2564,1,1 War Dog Karnivore
2565,1,1 War Dog Brigand
2566,1,1 War Dog Huntsman
2567,1,1 Knight Abominant
2568,1,1 Impulsor
2569,1,1 Cult Demagogue
2569,2,1 Mindwitch
2569,3,1 Iconarch
2569,4,2 Blessed Blades
2570,1,1 Aspiring Champion
2570,2,4-9 Legionaries
2571,1,3-6 Torments
2571,2,5-10 Mutants
2572,1,1 Chaos Predator Annihilator
2582,1,1 Bloodthirster
2583,1,10 Blue Horrors
2584,1,10 Pink Horrors
2587,1,1 Navis Sergeant-at-Arms
2587,2,9 Navis Armsmen
2588,1,1 Kroot Kill-broker
2588,2,9 Kroot Farstalkers
2588,3,2 Kroot Hounds
2589,1,1 Traitor Enforcer
2589,2,1 Traitor Ogryn
2590,1,1 Traitor Sergeant
2590,2,9 Traitor Guardsmen
2591,1,16 Mutoid Vermin
2592,1,4 Nightmare Hulks
2592,2,3 Gellerpox Mutants
2593,1,"1 Ûthar the Destined – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2594,1,1 Kâhl
2595,1,1 Einhyr Champion
2596,1,1 Grimnyr
2596,2,2 CORVs*
2597,1,1 Brôkhyr Iron-master
2597,2,1 Ironkin Assistant
2597,3,3 E-COGs*
2598,1,1 Theyn
2598,2,9 Hearthkyn Warriors
2599,1,1 Hesyr
2599,2,4-9 Hearthguard
2600,1,5-10 Cthonian Beserks
2601,1,3-6 Hernkyn Pioneers
2602,1,1 Sagitaur
2603,1,3-6 Brôkhyr Thunderkyn
2604,1,1 Hekaton Land Fortress
2605,1,"1 Lord Solar Leontus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2606,1,"1 Ursula Creed – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2607,1,1 Cadian Castellan
2609,1,1 Cadian Commander
2609,2,4 Cadian Veteran Guardsmen
2610,1,"1 Master of Ordnance, 1 Officer of the Fleet and 1 Astropath."
2612,1,1 Shock Trooper Sergeant and 9 Shock Troopers
2612,2,OR
2612,3,2 Shock Trooper Sergeants and 18 Shock Troopers
2613,1,1 Death Korps Watchmaster and 9 Death Korps Troopers
2613,2,OR
2613,3,2 Death Korps Watchmasters and 18 Death Korps Troopers
2614,1,1 Jungle Fighter Sergeant and 9 Jungle Fighters
2614,2,OR
2614,3,2 Jungle Fighter Sergeants and 18 Jungle Fighters
2615,1,1 Kasrkin Sergeant
2615,2,9 Kasrkin Troopers
2616,1,1 Rough Rider Sergeant
2616,2,4-9 Rough Riders
2617,1,1 Rogal Dorn Battle Tank
2619,1,1 Aegis Defence Line
2621,1,"1 Angron – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2622,1,"1 Khârn the Betrayer – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2623,1,"1 Lord Invocatus – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2624,1,1 Daemon Prince of Khorne
2625,1,1 Lord on Juggernaut
2626,1,1 Master of Executions
2627,1,1 Khorne Berzerker Champion
2627,2,9-19 Khorne Berzerkers
2628,1,"1 Jakhal Pack Leader, 1 Dishonoured and 8 Jakhals"
2628,2,or:
2628,3,"1 Jakhal Pack Leader, 2 Dishonoured and 17 Jakhals"
2629,1,1 Terminator Champion
2629,2,4-9 Chaos Terminators
2630,1,1 Eightbound Champion
2630,2,2-5 Eightbound
2631,1,1 Exalted Eightbound Champion
2631,2,2-5 Exalted Eightbound
2632,1,1 Helbrute
2633,1,2 Chaos Spawn
2634,1,1 Chaos Land Raider
2635,1,1 Defiler
2636,1,1 Chaos Predator Destructor
2637,1,1 Chaos Predator Annihilator
2638,1,1 Forgefiend
2639,1,1 Maulerfiend
2640,1,1 Chaos Rhino
2641,1,1 Heldrake
2642,1,1 Khorne Lord of Skulls
2677,1,1 Ancient in Terminator Armour
2678,1,"1 Chaplain Cassius – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2679,1,"1 Vashtorr the Arkifane – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2682,1,"1 Lion El’Jonson – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2683,1,1 Proctor-Vigilant
2683,2,9 Vigilants
2683,3,1 Cyber-mastiff
2684,1,1 Proctor-Subductor
2684,2,9 Subductors
2684,3,1 Cyber-mastiff
2685,1,1 Proctor-Exactant
2685,2,9 Exaction Vigilants
2685,3,1 Cyber-mastiff
2686,1,5-10 Barbgaunts
2687,1,1-2 Neurogaunt Nodebeasts*
2687,2,10-20 Neurogaunts
2688,1,1 Neurotyrant
2689,1,1 Psychophage
2690,1,1 Screamer-Killer
2691,1,1 Tyranid Prime
2691,2,2-5 Tyranid Warriors
2692,1,1 Tyranid Prime
2692,2,2-5 Tyranid Warriors
2693,1,3-6 Von Ryan’s Leapers
2694,1,1 Winged Tyranid Prime
2700,1,1 Astraeus
2701,1,1 Captain in Phobos Armour
2702,1,1 Captain on Bike
2703,1,1 Assault Centurion Sergeant
2703,2,2-5 Assault Centurions
2704,1,1 Fellblade
2705,1,1 Gladiator Lancer
2706,1,1 Ironclad Dreadnought
2707,1,1 Judiciar
2708,1,"1 Kayvaan Shrike – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2709,1,"1 Kor’sarro Khan – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2710,1,1 Land Raider Helios
2711,1,1 Land Speeder
2712,1,1 Outrider Sergeant
2712,2,2-5 Outriders
2712,3,0-1 Invader ATV
2713,1,"1 Pedro Kantor – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2714,1,1 Predator Annihilator
2715,1,1 Predator Destructor
2717,1,1 Redemptor Dreadnought
2718,1,1 Reiver Sergeant
2718,2,4-9 Reivers
2719,1,1 Relic Contemptor Dreadnought
2720,1,1 Relic Razorback
2721,1,1 Repulsor
2722,1,1 Repulsor Executioner
2723,1,1 Rhino
2724,1,1 Thunderhawk Transporter
2725,1,1 Veteran Sergeant
2725,2,4 Tyrannic War Veterans
2726,1,"1 Vulkan He’stan – <span class=""kwb"">EPIC</span> <span class=""kwb"">HERO</span>"
2727,1,1 Whirlwind
2728,1,1 Whirlwind Scorpius
2729,1,1 Xiphon Interceptor
2730,1,1 Heretic Astartes Daemon Prince with Wings
2731,1,1 Renegade Enforcer
2732,1,3 Renegade Heavy Weapons Teams
2733,1,1 Ogryn Pack Master
2733,2,3 Chaos Mauler Hounds
2734,1,3 Renegade Ogryn Brutes
2735,1,3 Renegade Plague Ogryns
2736,1,3 Deffkoptas with Big Shootas
2737,1,5-10 Death Company Marines with Jump Packs
2738,1,1 Sanguinary Priest
2739,1,1 Earthshaker Platform
2740,1,1 Elysian Drop Sentinel
2741,1,1 Leman Russ Eradicator
2742,1,1 Leman Russ Executioner
2743,1,1 Leman Russ Exterminator
2744,1,1 Leman Russ Punisher
2745,1,1 Leman Russ Vanquisher
2746,1,1 Tempestor
2746,2,4-9 Tempestus Scions
2748,1,1 Ravenwing Champion
2748,2,1 Ravenwing Apothecary
2748,3,1 Ravenwing Ancient
2749,1,1 Daemon Prince of Nurgle with Wings
2750,1,1 Icon Bearer
2751,1,1 Norn Emissary
2752,1,1 Norn Assimilator
2753,1,1 Neurolictor
2755,1,1 Exalted Sorcerer
2757,1,1 Daemon Prince of Khorne with Wings
